1	2	
3	2	
4	2	
5	2	
6	2	
7	2	
8	2	
9	2	
10	2	
11	2	
12	2	
13	2	
14	2	
15	2	
16	2	
17	2	
18	2	
19	2	
20	2	
21	2	
22	2	
23	2	
24	2	
25	2	
26	2	
27	2	
28	2	
29	2	
30	2	
31	2	
32	2	
33	2	
34	2	
35	2	
36	2	
37	2	
38	2	
39	2	
40	2	
41	2	
42	2	
43	2	
44	2	
45	2	
46	2	
47	2	
48	2	
49	2	
50	2	
51	2	
52	2	
53	2	
54	2	
55	2	
56	2	
57	2	
58	2	
59	2	
60	2	
61	2	
62	2	
63	2	
64	2	
65	2	
66	2	
67	2	
68	2	
69	2	
70	2	
71	2	
72	2	
73	2	
74	2	
75	2	
76	2	
77	2	
78	2	
79	1	
80	1	
81	1	
82	1	
83	1	
84	1	
85	1	
86	1	
87	1	
88	1	
89	1	
90	1	
91	1	
92	1	
93	1	
94	1	
95	1	
96	1	
97	1	
98	1	
99	1	
100	1	
101	1	
102	1	
103	1	
104	1	
105	1	
106	1	
107	1	
108	1	
109	1	
110	1	
111	1	
112	1	
113	1	
114	1	
115	1	
116	1	
117	1	
118	1	
119	1	
120	1	
121	1	
1	122	
1	123	
1	124	
1	125	
1	126	
1	127	
1	128	
1	129	
1	130	
1	131	
1	132	
1	133	
1	134	
1	135	
1	136	
1	137	
1	138	
1	139	
1	140	
1	141	
1	142	
1	143	
1	144	
1	145	
1	146	
1	147	
1	148	
1	149	
1	150	
1	151	
1	152	
1	153	
1	154	
1	155	
1	156	
1	157	
1	158	
1	159	
1	160	
1	161	
1	162	
1	163	
1	164	
1	165	
1	2	
1	166	
1	167	
1	80	
1	168	
1	169	
1	170	
1	171	
1	81	
1	172	
1	173	
1	174	
1	175	
1	176	
1	177	
1	178	
1	179	
1	180	
1	181	
1	182	
1	183	
1	184	
1	185	
1	186	
1	187	
1	188	
1	189	
1	190	
1	191	
1	192	
1	193	
1	194	
1	195	
1	196	
1	197	
1	198	
1	199	
1	200	
1	201	
1	202	
1	203	
1	204	
1	82	
1	205	
1	206	
1	207	
1	208	
1	209	
1	210	
1	211	
1	212	
1	213	
1	214	
1	215	
1	216	
1	217	
218	3	
219	3	
220	3	
121	3	
3	221	
3	222	
3	223	
3	224	
3	2	
3	225	
3	226	
3	227	
3	228	
3	229	
3	230	
3	231	
3	232	
3	233	
3	234	
3	235	
3	236	
3	237	
3	238	
3	239	
3	240	
3	241	
3	242	
3	243	
3	244	
3	245	
3	246	
3	247	
3	248	
3	249	
3	250	
3	251	
3	252	
3	253	
3	254	
3	255	
3	256	
3	257	
3	258	
3	259	
3	260	
3	261	
3	262	
3	263	
3	264	
3	265	
3	266	
3	267	
3	268	
3	269	
3	270	
3	271	
3	272	
3	273	
3	274	
3	275	
3	276	
3	277	
3	278	
3	279	
3	280	
3	281	
3	282	
3	283	
3	284	
3	121	
3	285	
286	4	
287	4	
288	4	
289	4	
290	4	
291	4	
292	4	
293	4	
294	4	
295	4	
296	4	
297	4	
298	4	
299	4	
300	4	
301	4	
302	4	
303	4	
304	4	
305	4	
306	4	
307	4	
308	4	
309	4	
310	4	
311	4	
312	4	
313	4	
314	4	
315	4	
316	4	
317	4	
318	4	
319	4	
320	4	
321	4	
322	4	
323	4	
324	4	
325	4	
326	4	
327	4	
328	4	
329	4	
330	4	
331	4	
332	4	
333	4	
334	4	
335	4	
336	4	
337	4	
338	4	
339	4	
340	4	
121	4	
4	341	
4	342	
4	343	
4	344	
4	345	
4	346	
4	347	
4	348	
4	349	
4	350	
4	351	
4	352	
4	353	
4	354	
4	355	
4	356	
4	357	
4	358	
4	359	
4	360	
4	361	
4	287	
4	362	
4	363	
4	364	
4	365	
4	366	
4	367	
4	368	
4	369	
4	370	
4	371	
4	372	
4	373	
4	374	
4	375	
4	376	
4	377	
4	378	
4	379	
4	380	
4	381	
4	382	
4	383	
4	384	
4	385	
4	386	
4	387	
4	388	
4	389	
4	390	
4	391	
4	392	
4	393	
4	394	
4	395	
4	290	
4	396	
4	397	
4	398	
4	399	
4	400	
4	288	
4	401	
4	402	
4	403	
4	404	
4	405	
4	406	
4	407	
4	408	
4	409	
4	410	
4	411	
4	412	
4	413	
4	414	
4	415	
4	416	
4	417	
4	418	
4	292	
4	419	
4	420	
4	421	
4	422	
4	423	
4	2	
4	424	
4	425	
4	36	
4	426	
4	427	
4	428	
4	429	
